seq_no,epoch,timestamp,ip,temp
100,1591428601,Sat Jun 6 00:30:01 PDT 2020,128.111.45.161,116.600000
101,1591428901,Sat Jun 6 00:35:01 PDT 2020,128.111.45.161,118.400000
102,1591429201,Sat Jun 6 00:40:01 PDT 2020,128.111.45.161,116.600000
103,1591429501,Sat Jun 6 00:45:01 PDT 2020,128.111.45.161,118.400000
104,1591429801,Sat Jun 6 00:50:01 PDT 2020,128.111.45.161,116.600000
105,1591430101,Sat Jun 6 00:55:01 PDT 2020,128.111.45.161,116.600000
106,1591430401,Sat Jun 6 01:00:01 PDT 2020,128.111.45.161,116.600000
107,1591430701,Sat Jun 6 01:05:01 PDT 2020,128.111.45.161,120.200000
108,1591431001,Sat Jun 6 01:10:01 PDT 2020,128.111.45.161,120.200000
109,1591431301,Sat Jun 6 01:15:01 PDT 2020,128.111.45.161,116.600000
110,1591431601,Sat Jun 6 01:20:01 PDT 2020,128.111.45.161,116.600000
111,1591431901,Sat Jun 6 01:25:01 PDT 2020,128.111.45.161,118.400000
112,1591432201,Sat Jun 6 01:30:01 PDT 2020,128.111.45.161,129.200000
113,1591432501,Sat Jun 6 01:35:01 PDT 2020,128.111.45.161,116.600000
114,1591432801,Sat Jun 6 01:40:01 PDT 2020,128.111.45.161,118.400000
115,1591433101,Sat Jun 6 01:45:01 PDT 2020,128.111.45.161,116.600000
116,1591433402,Sat Jun 6 01:50:02 PDT 2020,128.111.45.161,116.600000
117,1591433701,Sat Jun 6 01:55:01 PDT 2020,128.111.45.161,116.600000
118,1591434001,Sat Jun 6 02:00:01 PDT 2020,128.111.45.161,118.400000
119,1591434301,Sat Jun 6 02:05:01 PDT 2020,128.111.45.161,118.400000
120,1591434601,Sat Jun 6 02:10:01 PDT 2020,128.111.45.161,118.400000
121,1591434901,Sat Jun 6 02:15:01 PDT 2020,128.111.45.161,118.400000
122,1591435201,Sat Jun 6 02:20:01 PDT 2020,128.111.45.161,116.600000
123,1591435501,Sat Jun 6 02:25:01 PDT 2020,128.111.45.161,118.400000
124,1591435801,Sat Jun 6 02:30:01 PDT 2020,128.111.45.161,118.400000
125,1591436101,Sat Jun 6 02:35:01 PDT 2020,128.111.45.161,118.400000
126,1591436401,Sat Jun 6 02:40:01 PDT 2020,128.111.45.161,118.400000
127,1591436701,Sat Jun 6 02:45:01 PDT 2020,128.111.45.161,120.200000
128,1591437001,Sat Jun 6 02:50:01 PDT 2020,128.111.45.161,118.400000
129,1591437301,Sat Jun 6 02:55:01 PDT 2020,128.111.45.161,120.200000
130,1591437601,Sat Jun 6 03:00:01 PDT 2020,128.111.45.161,116.600000
131,1591437901,Sat Jun 6 03:05:01 PDT 2020,128.111.45.161,118.400000
132,1591438201,Sat Jun 6 03:10:01 PDT 2020,128.111.45.161,116.600000
133,1591438502,Sat Jun 6 03:15:02 PDT 2020,128.111.45.161,116.600000
134,1591438801,Sat Jun 6 03:20:01 PDT 2020,128.111.45.161,118.400000
135,1591439101,Sat Jun 6 03:25:01 PDT 2020,128.111.45.161,116.600000
136,1591439401,Sat Jun 6 03:30:01 PDT 2020,128.111.45.161,118.400000
137,1591439701,Sat Jun 6 03:35:01 PDT 2020,128.111.45.161,116.600000
138,1591440001,Sat Jun 6 03:40:01 PDT 2020,128.111.45.161,116.600000
139,1591440301,Sat Jun 6 03:45:01 PDT 2020,128.111.45.161,116.600000
140,1591440601,Sat Jun 6 03:50:01 PDT 2020,128.111.45.161,122.000000
141,1591440901,Sat Jun 6 03:55:01 PDT 2020,128.111.45.161,116.600000
142,1591441201,Sat Jun 6 04:00:01 PDT 2020,128.111.45.161,118.400000
143,1591441501,Sat Jun 6 04:05:01 PDT 2020,128.111.45.161,116.600000
144,1591441801,Sat Jun 6 04:10:01 PDT 2020,128.111.45.161,116.600000
145,1591442101,Sat Jun 6 04:15:01 PDT 2020,128.111.45.161,116.600000
146,1591442401,Sat Jun 6 04:20:01 PDT 2020,128.111.45.161,118.400000
147,1591442701,Sat Jun 6 04:25:01 PDT 2020,128.111.45.161,116.600000
148,1591443002,Sat Jun 6 04:30:02 PDT 2020,128.111.45.161,116.600000
149,1591443301,Sat Jun 6 04:35:01 PDT 2020,128.111.45.161,116.600000
150,1591443601,Sat Jun 6 04:40:01 PDT 2020,128.111.45.161,114.800000
151,1591443901,Sat Jun 6 04:45:01 PDT 2020,128.111.45.161,116.600000
152,1591444201,Sat Jun 6 04:50:01 PDT 2020,128.111.45.161,116.600000
153,1591444501,Sat Jun 6 04:55:01 PDT 2020,128.111.45.161,116.600000
154,1591444801,Sat Jun 6 05:00:01 PDT 2020,128.111.45.161,116.600000
